Experiment,Enrichment,DOMSource,Replicate,Time_hrs,DayOfExperiment,SamplePoint,RQ_RER,Temp_C,O2_perc,O2Rate_ugmin,O2Accum_ug,CO2_perc,CO2Rate_ugmin,CO2Accum_ug,Pressure_mmhg,Status,Restriction_mmHg,Leakage_mLmin,Volume_mL
DOM Crossing Experiment 1,CHLOR,CHLOR,3,21.54,0,initial,0.811,21.02,20.6904,-1.288,-2162.081,0.15310000000000001,1.044,1399.088,801.58,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,21.44,0,initial,0.764,21.03,20.7061,-1.377,-2376.374,0.1383,1.051,1374.071,801.6,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,24.8,1,NA,0.811,21,20.695,-1.187,-2389.577,0.1477,0.963,1397.26,801.58,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,24.7,1,NA,1.008,21,20.7005,-1.025,-2356.572,0.1556,1.033,1595.141,801.6,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,24.6,1,NA,0.864,21,20.7142,-1.21,-2605.939,0.1402,1.045,1572.376,801.59,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,27.96,1,NA,0.819,20.51,20.7084,-1.066,-2591.904,0.1486,0.874,1563.026,801.58,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,27.86,1,NA,0.979,20.51,20.7164,-0.954,-2537.536,0.155,0.934,1772.27,801.59,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,27.76,1,NA,0.917,20.51,20.7316,-0.999,-2795.426,0.1384,0.916,1746.184,801.6,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,31.12,1,NA,0.874,20.33,20.7179,-0.852,-2753.637,0.1457,0.745,1704.423,801.6,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,31.02,1,NA,1.008,20.39,20.7263,-0.77,-2683.658,0.1504,0.777,1919.603,801.6,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,30.92,1,NA,0.866,20.31,20.7387,-0.949,-2975.401,0.1351,0.821,1901.986,801.63,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,34.29,1,NA,0.998,20.51,20.7321,-0.677,-2882.178,0.1422,0.676,1832.678,801.6,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,34.19,1,NA,1.257,20.51,20.742,-0.543,-2786.726,0.1451,0.683,2049.137,801.59,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,34.09,1,NA,1.097,20.51,20.7512,-0.675,-3103.446,0.1315,0.74,2042.467,801.59,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,37.45,1,NA,1.19,20.3,20.7481,-0.543,-2985.142,0.1388,0.646,1955.25,801.59,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,37.35,1,NA,1.032,20.37,20.7522,-0.638,-2907.785,0.1405,0.659,2174.067,801.58,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,37.25,1,NA,0.967,20.43,20.7598,-0.639,-3224.624,0.1272,0.618,2159.618,801.6,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,40.61,1,NA,0.888,20.68,20.7495,-0.716,-3120.998,0.1349,0.636,2075.888,801.59,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,40.51,1,NA,1.021,20.73,20.7557,-0.613,-3024.002,0.1354,0.625,2292.72,801.59,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,40.41,1,NA,0.875,20.75,20.7587,-0.663,-3350.465,0.1239,0.58,2269.725,801.57,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,43.77,1,NA,1.034,21,20.7491,-0.611,-3236.897,0.1305,0.632,2195.715,801.59,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,43.67,1,NA,1.064,21,20.7547,-0.565,-3131.218,0.1296,0.601,2406.77,801.56,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,43.57,1,NA,0.943,21,20.7557,-0.583,-3461.095,0.1196,0.55,2374.081,801.6,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,46.93,1,NA,0.972,21.73,20.7505,-0.651,-3360.487,0.1272,0.633,2315.859,801.58,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,46.83,1,NA,1.15,21.73,20.7567,-0.549,-3235.276,0.1261,0.631,2526.395,801.58,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,46.73,1,NA,0.924,21.72,20.7541,-0.628,-3580.275,0.1172,0.58,2484.184,801.59,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,50.1,2,NA,1.523,21.95,20.7574,-0.415,-3439.191,0.1254,0.631,2435.687,801.59,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,50,2,NA,1.685,21.96,20.7641,-0.332,-3298.192,0.122,0.559,2632.391,801.61,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,49.9,2,NA,1.053,21.97,20.758,-0.469,-3669.208,0.1137,0.493,2577.787,801.6,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,53.26,2,NA,1.112,21.73,20.761,-0.527,-3539.205,0.1227,0.586,2546.924,801.59,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,53.16,2,NA,1.147,21.73,20.7671,-0.472,-3387.773,0.1187,0.541,2735.16,801.6,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,53.06,2,NA,0.854,21.73,20.7598,-0.554,-3774.397,0.1106,0.474,2667.668,801.59,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,56.42,2,NA,0.756,21.77,20.7604,-0.707,-3673.375,0.1189,0.534,2648.305,801.6,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,56.32,2,NA,0.607,21.8,20.7648,-0.727,-3525.71,0.1132,0.441,2818.828,801.59,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,56.22,2,NA,0.592,21.76,20.7575,-0.784,-3923.185,0.1079,0.464,2755.725,801.59,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,59.59,2,NA,0.822,21.93,20.7617,-0.663,-3799.247,0.1163,0.546,2751.823,801.6,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,59.49,2,NA,0.828,21.91,20.7666,-0.609,-3641.305,0.1109,0.505,2914.59,801.59,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,59.39,2,NA,0.587,21.92,20.758,-0.742,-4063.946,0.1049,0.436,2838.384,801.59,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,62.75,2,NA,0.73,21.76,20.7652,-0.694,-3931.015,0.1131,0.507,2847.982,801.59,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,62.65,2,NA,0.679,21.76,20.7678,-0.695,-3773.228,0.1082,0.472,3004.135,801.59,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,62.55,2,NA,0.459,21.75,20.7543,-0.97,-4248.084,0.1029,0.445,2922.882,801.59,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,65.93,2,NA,0.536,21.92,20.7641,-0.966,-4115.091,0.1116,0.517,2946.563,801.59,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,65.83,2,NA,0.464,21.95,20.764,-1.024,-3968.56,0.1068,0.475,3094.785,801.59,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,65.73,2,NA,0.419,21.97,20.7521,-1.137,-4464.903,0.1025,0.476,3013.651,801.59,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,69.09,2,NA,0.483,21.48,20.7611,-0.934,-4292.314,0.108,0.451,3032.223,801.58,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,68.99,2,NA,0.44,21.48,20.7553,-1.118,-4180.598,0.1056,0.492,3188.17,801.58,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,68.89,2,NA,0.419,21.48,20.7464,-1.209,-4694.289,0.1023,0.507,3109.786,801.59,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,72.25,3,NA,0.555,21.26,20.7588,-0.887,-4460.657,0.1066,0.492,3125.653,801.59,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,72.15,3,NA,0.464,21.25,20.7487,-1.074,-4384.422,0.1048,0.499,3282.801,801.58,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,72.05,3,NA,0.42,21.25,20.7414,-1.182,-4918.615,0.1017,0.497,3204.052,801.59,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,75.43,3,NA,0.514,21.24,20.7545,-0.981,-4647.685,0.1058,0.505,3221.86,801.58,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,75.33,3,NA,0.544,21.24,20.7481,-0.946,-4564.755,0.1048,0.515,3380.927,801.6,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,75.23,3,NA,0.421,21.24,20.7383,-1.212,-5149.754,0.1016,0.511,3301.445,801.6,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,78.6,3,NA,0.454,21,20.7493,-1.091,-4855.146,0.1052,0.495,3316.017,801.59,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,78.5,3,NA,0.43,21,20.7439,-1.13,-4779.593,0.1039,0.486,3473.342,801.6,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,78.4,3,NA,0.373,21,20.7377,-1.203,-5378.54,0.0998,0.449,3386.844,801.59,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,81.76,3,NA,0.439,20.98,20.7451,-1.119,-5067.39,0.1047,0.491,3409.245,801.59,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,81.66,3,NA,0.332,20.99,20.7394,-1.194,-5006.1,0.1011,0.397,3548.613,801.59,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,81.56,3,NA,0.33,21,20.7352,-1.307,-5626.591,0.0982,0.432,3468.755,801.59,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,84.92,3,NA,0.415,20.9,20.7383,-1.169,-5289.242,0.1039,0.485,3501.312,801.59,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,84.82,3,NA,0.377,20.93,20.7368,-1.102,-5215.161,0.0993,0.416,3627.443,801.58,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,84.72,3,NA,0.307,20.95,20.7313,-1.321,-5877.17,0.0959,0.406,3545.699,801.6,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,88.09,3,NA,0.427,20.98,20.7334,-1.047,-5488.428,0.1022,0.447,3586.313,801.6,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,87.99,3,NA,0.322,20.99,20.73,-1.139,-5431.764,0.0965,0.367,3697.151,801.6,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,87.89,3,NA,0.31,20.99,20.7265,-1.251,-6115.034,0.0935,0.387,3619.36,801.58,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,91.25,3,NA,0.328,21.22,20.7269,-1.311,-5737.203,0.1001,0.43,3667.975,801.59,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,91.15,3,NA,0.245,21.2,20.7264,-1.274,-5673.494,0.0926,0.312,3756.276,801.6,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,91.05,3,NA,0.243,21.2,20.7215,-1.469,-6393.737,0.0907,0.357,3687.01,801.59,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,94.42,3,NA,0.339,20.12,20.7347,-1.116,-5948.957,0.0969,0.378,3739.707,801.58,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,94.31,3,NA,0.281,20.2,20.7316,-1.21,-5903.005,0.0903,0.34,3820.864,801.6,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,94.21,3,NA,0.222,20.26,20.7261,-1.438,-6666.511,0.0875,0.319,3747.447,801.58,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,97.58,4,NA,0.292,19.54,20.7305,-1.201,-6176.764,0.0938,0.351,3806.334,801.61,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,97.48,4,NA,0.223,19.64,20.7262,-1.275,-6144.925,0.0872,0.284,3874.802,801.59,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,97.38,4,NA,0.198,19.77,20.7181,-1.582,-6966.657,0.085,0.313,3806.881,801.59,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,100.74,4,NA,0.252,20.26,20.7186,-1.364,-6435.491,0.0917,0.343,3871.485,801.59,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,100.64,4,NA,0.187,20.26,20.715,-1.408,-6412.02,0.0847,0.264,3924.823,801.59,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,100.54,4,NA,0.179,20.26,20.7089,-1.584,-7267.202,0.0825,0.284,3860.718,801.59,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,103.91,4,NA,0.231,20.26,20.715,-1.33,-6688.46,0.0891,0.307,3929.875,801.6,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,103.81,4,NA,0.171,20.27,20.7112,-1.356,-6669.837,0.0819,0.231,3968.821,801.6,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,103.71,4,NA,0.152,20.27,20.7002,-1.766,-7602.979,0.0804,0.268,3911.733,801.58,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,107.07,4,NA,0.227,19.81,20.7136,-1.363,-6947.011,0.0875,0.31,3988.6,801.59,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,106.97,4,NA,0.168,19.81,20.7074,-1.469,-6948.512,0.0804,0.247,4015.773,801.59,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,106.87,4,NA,0.133,19.87,20.6959,-1.784,-7941.52,0.0784,0.237,3956.623,801.59,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,110.24,4,NA,0.181,19.71,20.7068,-1.487,-7229.707,0.0847,0.269,4039.742,801.58,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,110.14,4,NA,0.132,19.71,20.7044,-1.416,-7217.747,0.0772,0.187,4051.27,801.59,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,110.04,4,NA,0.115,19.74,20.6904,-1.813,-8286.203,0.0755,0.209,3996.344,801.6,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,113.41,4,NA,0.168,19.78,20.7001,-1.494,-7513.781,0.0817,0.25,4087.327,801.59,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,113.31,4,NA,0.139,19.78,20.7007,-1.411,-7485.981,0.0747,0.196,4088.5,801.59,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,113.21,4,NA,0.123,19.78,20.6881,-1.7,-8609.403,0.0732,0.21,4036.246,801.59,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,116.57,4,NA,0.174,19.75,20.6988,-1.573,-7812.215,0.0797,0.274,4139.244,801.6,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,116.47,4,NA,0.152,19.77,20.7027,-1.443,-7759.694,0.0732,0.22,4130.165,801.6,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,116.37,4,NA,0.131,19.77,20.692,-1.711,-8934.007,0.0715,0.225,4078.856,801.59,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,119.73,4,NA,0.148,19.04,20.6948,-1.715,-8137.575,0.077,0.254,4187.406,801.6,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,119.63,4,NA,0.126,19.04,20.7031,-1.542,-8052.314,0.0704,0.194,4166.908,801.58,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,119.53,4,NA,0.108,19.05,20.6924,-1.867,-9288.245,0.0688,0.201,4116.948,801.57,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,122.9,5,NA,0.149,19.29,20.6868,-1.539,-8430.375,0.0749,0.23,4231.074,801.6,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,122.8,5,NA,0.125,19.29,20.6968,-1.41,-8320.527,0.0685,0.176,4200.322,801.59,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,122.7,5,NA,0.106,19.29,20.6817,-1.903,-9650.079,0.0674,0.202,4155.452,801.58,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,126.07,5,NA,0.122,19.53,20.6787,-1.598,-8733.577,0.0728,0.195,4268.021,801.58,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,125.97,5,NA,0.137,19.54,20.694,-1.311,-8569.261,0.0677,0.179,4234.304,801.58,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,125.86,5,NA,0.089,19.53,20.6715,-1.935,-10017.2,0.066,0.171,4187.958,801.57,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,129.23,5,NA,0.109,19.77,20.6741,-1.711,-9058.282,0.0708,0.187,4303.505,801.6,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,129.13,5,NA,0.12,19.78,20.6979,-1.245,-8805.419,0.0659,0.149,4262.645,801.59,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,129.03,5,NA,0.082,19.78,20.6679,-1.955,-10388.13,0.0645,0.161,4218.51,801.59,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,132.39,5,NA,0.119,20.02,20.6705,-1.806,-9400.871,0.0695,0.214,4344.145,801.6,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,132.29,5,NA,0.149,20.02,20.7025,-1.252,-9042.966,0.0651,0.187,4298.072,801.59,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,132.19,5,NA,0.079,20.02,20.6637,-2.095,-10785.62,0.0629,0.165,4249.821,801.6,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,135.55,5,NA,0.109,20.51,20.6674,-1.706,-9724.612,0.0682,0.185,4379.321,801.6,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,135.45,5,NA,0.137,20.51,20.7055,-1.162,-9263.374,0.0642,0.159,4328.253,801.59,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,135.35,5,NA,0.075,20.49,20.6596,-2.044,-11173.33,0.0618,0.154,4278.993,801.59,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,138.71,5,NA,0.116,19.78,20.6742,-1.763,-10059.06,0.0672,0.204,4418.013,801.59,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,138.61,5,NA,0.163,19.81,20.7224,-0.969,-9447.263,0.0629,0.158,4358.297,801.59,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,138.51,5,NA,0.082,19.96,20.6617,-2.135,-11578.36,0.0611,0.174,4312.04,801.59,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,141.88,5,NA,0.078,19.28,20.6747,-1.766,-10394.13,0.0647,0.138,4444.268,801.59,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,141.77,5,NA,0.145,19.28,20.728,-1.065,-9649.316,0.0619,0.155,4387.648,801.59,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,141.67,5,NA,0.059,19.29,20.6611,-2.13,-11982.53,0.0593,0.125,4335.78,801.58,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,145.04,6,NA,0.093,19.04,20.6824,-1.559,-10689.89,0.0627,0.145,4471.869,801.6,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,144.94,6,NA,0.161,19.04,20.7398,-0.802,-9801.492,0.0603,0.129,4412.11,801.59,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,144.84,6,NA,0.084,19.02,20.6694,-1.813,-12326.42,0.0584,0.153,4364.817,801.58,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,148.2,6,NA,0.106,19.38,20.6799,-1.461,-10967.15,0.0628,0.154,4501.123,801.59,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,148.1,6,NA,0.216,19.45,20.741,-0.712,-9936.504,0.0607,0.154,4441.296,801.59,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,148,6,NA,0.066,19.45,20.6697,-1.689,-12646.88,0.058,0.111,4385.888,801.59,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,151.36,6,NA,0.093,19.53,20.6857,-1.345,-11222.38,0.0626,0.125,4524.787,801.59,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,151.26,6,NA,0.212,19.53,20.7493,-0.566,-10043.81,0.0608,0.12,4464.074,801.59,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,151.16,6,NA,0.06,19.53,20.675,-1.564,-12943.54,0.0576,0.093,4403.605,801.57,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,154.52,6,NA,0.088,19.51,20.6991,-1.22,-11453.91,0.0617,0.107,4545.165,801.59,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,154.42,6,NA,0.212,19.52,20.761,-0.53,-10144.42,0.0604,0.112,4485.386,801.59,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,154.32,6,NA,0.068,19.52,20.6838,-1.569,-13241.27,0.0574,0.107,4423.847,801.58,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,157.69,6,NA,0.082,19.28,20.7144,-1.274,-11695.6,0.0606,0.105,4565.068,801.59,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,157.59,6,NA,0.199,19.29,20.7759,-0.583,-10255.05,0.06,0.116,4507.391,801.58,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,157.49,6,NA,0.059,19.29,20.7038,-1.355,-13498.38,0.0563,0.08,4439.022,801.59,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,160.85,6,NA,0.104,19.78,20.7268,-1.133,-11910.55,0.0598,0.118,4587.502,801.61,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,160.75,6,NA,0.246,19.82,20.7858,-0.532,-10355.95,0.0594,0.131,4532.252,801.58,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,160.65,6,NA,0.067,19.96,20.7152,-1.409,-13765.71,0.0553,0.094,4456.848,801.55,NA,0,0,261
DOM Crossing Experiment 1,CHLOR,CHLOR,1,164.01,6,NA,0.099,19.53,20.739,-0.994,-12099.13,0.0587,0.099,4606.206,801.58,NA,0,0,251
DOM Crossing Experiment 1,CHLOR,CHLOR,3,163.91,6,NA,0.377,19.53,20.7947,-0.424,-10436.41,0.0599,0.16,4562.587,801.58,NA,0,0,263
DOM Crossing Experiment 1,CHLOR,CHLOR,2,163.81,6,NA,0.091,19.53,20.7274,-1.181,-13989.8,0.055,0.108,4477.335,801.58,NA,0,0,261
